代码,名称,板块,行业名称,概念列表,行业强势,概念强势,板块强度,stock_type,layer,收盘价,建议买入价,买入备注,止损价,止盈价,MA20,MA5,建议股数,建议金额,仓位比例,score,reasons,ai_risk_level,ai_risk_reason,ai_risk_details,风格基准权重
601872,招商轮船,航运港口,航运港口,,弱,弱,弱,VALUE_TREND,CONSERVATIVE,9.6,9.23,⚠️ 当前偏离5日线5.0%，建议回踩至9.23附近接回,9.12,11.04,8.81,9.14,200,1920.0,3.0%,102.5,PE合理(17.6); PB合理(1.90); ⚠️ 当前偏离5日线5.0%，建议回踩至9.23附近接回,LOW,业绩预增，无负面消息,近期公告显示2025年净利润预增17%-29%，新油轮交付，无立案调查、财务造假等负面信息，风险较低。,"hs300:0.81, csi500:0.19"
601155,新城控股,房地产开发,房地产开发,,强,弱,行业强,VALUE_TREND,CONSERVATIVE,15.24,14.75,⚠️ 当前偏离5日线4.3%，建议回踩至14.75附近接回,14.48,17.53,14.17,14.61,100,1524.0,2.4%,100.0,PE合理(26.5); PB合理(0.56); ⚠️ 当前偏离5日线4.3%，建议回踩至14.75附近接回,MEDIUM,大股东质押超两成持股,控股股东累计质押股份超20%，若股价下跌可能引发平仓风险，但公司经营稳健，获大摩看好。,"hs300:0.81, csi500:0.19"
000620,盈新发展,房地产开发,房地产开发,,强,弱,行业强,HOT_MONEY,AGGRESSIVE,3.45,3.08,⚠️ 当前偏离5日线13.2%，建议回踩至3.08附近接回,3.17,4.31,2.88,3.05,1100,3795.0,5.9%,85.0,10日涨幅强劲(25.9%); 成交量异常放大(3.4倍); ⚠️ 当前偏离5日线13.2%，建议回踩至3.08附近接回,MEDIUM,股价异动与业绩亏损,连续3个交易日涨幅偏离值累计超20%，触发龙虎榜；2025年前三季度归母净利润为负，存在业绩压力。,"hs300:0.81, csi500:0.19"
600257,大湖股份,农牧饲渔,农牧饲渔,,强,弱,行业强,HOT_MONEY,AGGRESSIVE,7.22,6.8,⚠️ 当前偏离5日线7.2%，建议回踩至6.8附近接回,6.64,9.02,6.37,6.73,500,3610.0,5.6%,35.0,资金流向活跃+20分; MACD金叉+10分; ⚠️ 当前偏离5日线7.2%，建议回踩至6.8附近接回,LOW,无明显负面消息,近期新闻显示公司通过抖音销售大闸蟹，属正常业务拓展；无财务造假、立案调查、大额减持等负面信息。,"hs300:0.81, csi500:0.19"
002107,沃华医药,中药,中药,,强,弱,行业强,HOT_MONEY,AGGRESSIVE,7.13,6.77,⚠️ 当前偏离5日线6.4%，建议回踩至6.77附近接回,6.56,8.91,6.29,6.7,500,3565.0,5.5%,30.0,资金流向活跃+25分; DIF/DEA零轴之上+5分; ⚠️ 当前偏离5日线6.4%，建议回踩至6.77附近接回,LOW,无明显负面消息,近期新闻显示主力资金净流入、股价涨停、成交量增长，无立案调查、财务造假、大额减持等负面公告。,"hs300:0.81, csi500:0.19"
002772,众兴菌业,农牧饲渔,农牧饲渔,,强,弱,行业强,HOT_MONEY,AGGRESSIVE,16.1,15.09,⚠️ 当前偏离5日线7.8%，建议回踩至15.09附近接回,14.81,20.12,14.11,14.94,200,3220.0,5.0%,25.0,资金流向活跃+20分; DIF/DEA零轴之上+5分; ⚠️ 当前偏离5日线7.8%，建议回踩至15.09附近接回,LOW,行业资金流出，委托理财正常,农林牧渔行业近期资金流出，但公司公告使用闲置资金进行委托理财属正常经营行为，无直接负面消息。,"hs300:0.81, csi500:0.19"
600736,苏州高新,房地产开发,房地产开发,,强,弱,行业强,HOT_MONEY,AGGRESSIVE,7.25,7.04,⚠️ 当前偏离5日线4.1%，建议回踩至7.04附近接回,6.67,9.06,6.27,6.97,500,3625.0,5.6%,25.0,资金流向活跃+20分; DIF/DEA零轴之上+5分; ⚠️ 当前偏离5日线4.1%，建议回踩至7.04附近接回,MEDIUM,股价异动停牌风险,连续三个交易日涨幅偏离值累计达20%，触发交易所异动标准，存在停牌核查风险。,"hs300:0.81, csi500:0.19"
000863,三湘印象,房地产开发,房地产开发,,强,弱,行业强,HOT_MONEY,AGGRESSIVE,6.41,6.21,⚠️ 当前偏离5日线4.3%，建议回踩至6.21附近接回,5.9,8.01,5.5,6.14,600,3846.0,6.0%,20.0,资金流向活跃+15分; DIF/DEA零轴之上+5分; ⚠️ 当前偏离5日线4.3%，建议回踩至6.21附近接回,MEDIUM,股价异动与主力资金流出,连续三个交易日涨幅偏离值累计超20%，触发龙虎榜；近期主力资金连续净流出，显示市场情绪波动和潜在抛压风险。,"hs300:0.81, csi500:0.19"
600649,城投控股,房地产开发,房地产开发,,强,弱,行业强,HOT_MONEY,AGGRESSIVE,4.78,4.62,⚠️ 当前偏离5日线4.6%，建议回踩至4.62附近接回,4.4,5.98,4.38,4.57,800,3824.0,6.0%,20.0,资金流向活跃+20分; ⚠️ 当前偏离5日线4.6%，建议回踩至4.62附近接回,LOW,无明显负面消息,近期新闻显示公司通过私募基金投资科技企业、参与孵化器项目，房地产板块整体活跃，无立案调查、财务造假等负面信息。,"hs300:0.81, csi500:0.19"
002285,世联行,房地产服务,房地产服务,,强,弱,行业强,HOT_MONEY,AGGRESSIVE,3.04,2.99,⚠️ 当前偏离5日线2.6%，建议回踩至2.99附近接回,2.8,3.8,3.1,2.96,1300,3952.0,6.2%,20.0,资金流向活跃+15分; DIF/DEA零轴之上+5分; ⚠️ 当前偏离5日线2.6%，建议回踩至2.99附近接回,LOW,无明显负面消息,近期动态显示股价异动、资金流入、董事变更及股东户数下降，但无立案调查、财务造假、大额减持或行业重大利空等负面信息。,"hs300:0.81, csi500:0.19"
