代码,名称,收盘价,建议买入价,止损价,止盈价,MA20,建议股数,建议金额,仓位比例
603712,七一二,20.77,20.77,20.1,23.89,20.3,400,8308.0,10%
600257,大湖股份,6.28,6.28,6.21,7.22,6.28,1500,9420.0,10%
920351,华光源海,23.23,23.23,22.61,26.71,22.84,400,9292.0,10%
920227,美登科技,59.9,59.9,57.8,68.88,58.39,100,5990.0,10%
000833,粤桂股份,19.46,19.46,18.97,22.38,19.16,500,9730.0,10%
002279,久其软件,7.99,7.99,7.84,9.19,7.92,1200,9588.0,10%
600071,凤凰光学,21.5,21.5,20.72,24.72,20.93,400,8600.0,10%
002712,思美传媒,5.56,5.56,5.47,6.39,5.52,1700,9452.0,10%
000957,中通客车,11.42,11.42,11.17,13.13,11.29,800,9136.0,10%
002860,星帅尔,14.1,14.1,13.86,16.22,14.0,700,9870.0,10%
001215,千味央厨,38.5,38.5,37.97,44.28,38.35,200,7700.0,10%
600649,城投控股,4.45,4.45,4.29,5.12,4.33,2200,9790.0,10%
002036,联创电子,11.02,11.02,10.77,12.67,10.88,900,9918.0,10%
002042,华孚时尚,4.25,4.25,4.1,4.89,4.14,2300,9775.0,10%
002878,元隆雅图,18.22,18.22,17.62,20.95,17.8,500,9110.0,10%
600668,尖峰集团,11.3,11.3,11.1,13.0,11.21,800,9040.0,10%
601515,衢州东峰,4.3,4.3,4.23,4.94,4.27,2300,9890.0,10%
002541,鸿路钢构,16.44,16.44,16.01,18.91,16.17,600,9864.0,10%
600754,锦江酒店,25.27,25.27,24.68,29.06,24.92,300,7581.0,10%
002362,汉王科技,21.64,21.64,21.06,24.89,21.27,400,8656.0,10%
600756,浪潮软件,18.42,18.42,17.85,21.18,18.03,500,9210.0,10%
603886,元祖股份,13.97,13.97,13.49,16.07,13.63,700,9779.0,10%
600861,北京人力,18.34,18.34,18.0,21.09,18.18,500,9170.0,10%
000829,天音控股,10.91,10.91,10.69,12.55,10.8,900,9819.0,10%
000417,合百集团,8.1,8.1,7.86,9.32,7.94,1200,9720.0,10%
605577,龙版传媒,13.07,13.07,12.78,15.03,12.9,700,9149.0,10%
600834,申通地铁,8.48,8.48,8.25,9.75,8.33,1100,9328.0,10%
603050,科林电气,18.02,18.02,17.44,20.72,17.62,500,9010.0,10%
002244,滨江集团,10.05,10.05,9.84,11.56,9.94,900,9045.0,10%
000526,学大教育,39.22,39.22,37.75,45.1,38.14,200,7844.0,10%
002962,五方光电,14.82,14.82,14.45,17.04,14.59,600,8892.0,10%
002301,齐心集团,7.68,7.68,7.6,8.83,7.67,1300,9984.0,10%
002876,三利谱,23.94,23.94,23.36,27.53,23.59,400,9576.0,10%
920504,博迅生物,24.23,24.23,23.67,27.86,23.91,400,9692.0,10%
